"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Nov-2024","EQ","110.89","111.50","110.00","110.36","111.10","111.44","111.03","119.00","67.10","3,85,261","4,27,73,917.31","4,916"
"28-Nov-2024","EQ","109.96","110.50","108.83","109.97","110.30","110.36","110.02","119.00","67.10","4,20,434","4,62,56,283.41","5,242"
"27-Nov-2024","EQ","111.90","111.90","108.00","108.80","110.40","109.97","109.35","119.00","67.10","2,71,531","2,96,92,381.80","4,882"
"26-Nov-2024","EQ","109.40","110.49","108.40","109.91","108.50","108.80","109.15","119.00","67.10","3,74,229","4,08,46,448.06","7,511"
"25-Nov-2024","EQ","113.60","113.60","109.26","110.31","110.00","109.91","110.37","119.00","67.10","6,65,731","7,34,78,267.22","9,252"
"22-Nov-2024","EQ","112.26","112.89","109.12","110.07","110.20","110.31","110.48","119.00","67.03","4,48,379","4,95,39,032.02","6,447"
"21-Nov-2024","EQ","108.50","112.00","108.43","108.43","110.50","110.07","109.59","119.00","67.03","4,60,025","5,04,14,780.07","8,230"
"19-Nov-2024","EQ","110.24","114.41","107.10","110.25","109.31","108.43","110.51","119.00","67.03","9,80,837","10,83,94,492.22","11,047"
"18-Nov-2024","EQ","111.11","118.00","106.00","111.24","110.41","110.25","109.39","119.00","67.03","10,03,906","10,98,19,312.98","14,682"
"14-Nov-2024","EQ","109.01","114.45","107.48","108.78","111.40","111.24","111.78","119.00","64.75","10,96,009","12,25,10,146.95","11,889"
"13-Nov-2024","EQ","113.99","116.95","107.00","113.87","109.99","108.78","110.75","119.00","64.75","13,96,777","15,46,90,478.51","24,204"
"12-Nov-2024","EQ","112.34","119.00","104.50","112.34","114.00","113.87","115.37","119.00","64.75","29,57,578","34,12,08,707.07","27,735"
"11-Nov-2024","EQ","104.91","113.50","104.31","104.90","112.30","112.34","109.21","113.50","64.75","18,23,555","19,91,59,179.62","17,423"
"08-Nov-2024","EQ","103.01","105.95","103.01","103.01","104.51","104.90","105.01","105.95","62.44","8,50,446","8,93,03,518.67","9,353"
"07-Nov-2024","EQ","101.26","105.22","101.26","101.26","102.42","103.01","104.03","105.22","62.44","16,38,735","17,04,72,195.10","13,828"
"06-Nov-2024","EQ","98.90","101.44","97.62","97.00","101.44","101.26","100.41","102.75","62.44","12,88,972","12,94,23,856.85","10,141"
"05-Nov-2024","EQ","96.06","97.88","96.06","97.05","97.08","97.00","97.06","102.75","62.44","3,68,518","3,57,69,384.10","5,928"
"04-Nov-2024","EQ","98.87","98.87","96.02","96.87","97.47","97.05","97.19","102.75","62.44","4,81,780","4,68,25,188.21","8,894"
"01-Nov-2024","EQ","98.00","98.20","94.60","98.21","96.35","96.87","97.14","102.75","59.11","2,66,539","2,58,92,527.51","6,133"
"31-Oct-2024","EQ","98.95","98.95","98.00","99.04","98.20","98.21","98.36","102.75","59.11","2,41,305","2,37,35,448.40","5,699"
"30-Oct-2024","EQ","99.02","99.32","98.21","97.79","99.08","99.04","98.95","102.75","59.11","6,79,011","6,71,90,387.73","5,278"
"29-Oct-2024","EQ","97.51","99.49","97.50","98.07","97.81","97.79","97.77","102.75","59.11","7,75,872","7,58,56,533.40","5,197"
"28-Oct-2024","EQ","97.17","98.30","97.11","97.17","98.13","98.07","97.78","102.75","59.11","5,80,728","5,67,81,595.20","6,030"
"25-Oct-2024","EQ","97.65","97.65","95.70","97.15","97.01","97.17","96.93","102.75","59.00","7,13,651","6,91,70,729.67","6,064"
"24-Oct-2024","EQ","96.98","97.65","96.01","97.66","97.65","97.15","96.84","102.75","59.00","4,09,771","3,96,82,911.96","5,311"
"23-Oct-2024","EQ","98.98","98.98","94.10","95.24","97.10","97.66","97.56","102.75","59.00","13,21,309","12,89,03,602.49","6,165"
"22-Oct-2024","EQ","97.80","97.80","95.09","95.98","95.38","95.24","95.67","102.75","59.00","3,30,572","3,16,27,474.41","5,522"
"21-Oct-2024","EQ","97.18","97.19","95.80","96.14","95.83","95.98","96.42","102.75","59.00","4,34,287","4,18,73,153.60","5,431"
"18-Oct-2024","EQ","97.89","97.89","95.53","96.16","96.17","96.14","96.05","102.75","59.00","3,91,283","3,75,83,674.35","4,615"
"17-Oct-2024","EQ","97.81","98.72","95.05","96.50","96.19","96.16","96.05","102.75","59.00","3,59,531","3,45,31,364.51","5,551"
"16-Oct-2024","EQ","96.98","96.99","95.52","97.17","96.88","96.50","96.41","102.75","59.00","2,07,837","2,00,37,464.85","5,889"
"15-Oct-2024","EQ","97.49","97.59","96.38","97.20","96.99","97.17","97.07","102.75","59.00","5,84,031","5,66,91,350.24","7,002"
"14-Oct-2024","EQ","97.05","97.78","95.06","97.05","97.15","97.20","97.27","102.75","59.00","4,16,888","4,05,52,509.14","5,823"
"11-Oct-2024","EQ","96.49","97.25","95.60","95.66","97.00","97.05","96.75","102.75","59.00","11,44,783","11,07,54,498.96","6,556"
"10-Oct-2024","EQ","95.51","96.17","95.23","95.49","95.70","95.66","95.84","102.75","59.00","4,36,649","4,18,46,719.63","5,139"
"09-Oct-2024","EQ","95.20","95.84","94.64","94.34","95.74","95.49","95.39","102.75","59.00","6,40,619","6,11,06,897.55","5,067"
"08-Oct-2024","EQ","96.90","96.90","93.55","94.06","94.50","94.34","93.98","102.75","59.00","3,20,205","3,00,92,418.80","5,576"
"07-Oct-2024","EQ","95.85","95.85","93.22","94.06","93.77","94.06","94.51","102.75","59.00","7,23,152","6,83,41,950.45","8,955"
"04-Oct-2024","EQ","94.49","94.55","93.59","93.56","93.81","94.06","94.20","102.75","59.00","3,50,394","3,30,06,048.25","5,140"
"03-Oct-2024","EQ","94.21","95.78","93.16","94.78","93.40","93.56","94.14","102.75","59.00","7,16,344","6,74,39,565.03","10,975"
"01-Oct-2024","EQ","95.17","96.95","94.46","94.88","94.70","94.78","95.44","102.75","59.00","5,08,284","4,85,11,940.35","6,468"
"30-Sep-2024","EQ","95.31","95.80","94.10","94.95","94.50","94.88","94.74","102.75","59.00","6,00,805","5,69,20,668.94","7,839"
"27-Sep-2024","EQ","95.65","95.65","94.80","95.12","94.88","94.95","95.08","102.75","59.00","3,23,892","3,07,95,596.94","5,664"
"26-Sep-2024","EQ","94.79","95.89","93.70","94.30","95.24","95.12","94.95","102.75","59.00","6,81,933","6,47,47,660.30","5,327"
"25-Sep-2024","EQ","94.29","95.29","93.91","94.07","94.35","94.30","94.35","102.75","59.00","3,26,790","3,08,32,131.91","4,688"
"24-Sep-2024","EQ","94.50","94.50","93.71","93.95","94.28","94.07","93.97","102.75","59.00","1,86,168","1,74,94,768.92","4,551"
"23-Sep-2024","EQ","95.25","95.25","92.13","94.13","93.90","93.95","94.09","102.75","59.00","4,37,966","4,12,06,709.22","6,483"
"20-Sep-2024","EQ","93.97","95.19","93.73","93.19","94.16","94.13","94.13","102.75","59.00","8,44,440","7,94,88,233.40","4,561"
"19-Sep-2024","EQ","96.20","96.20","92.55","93.42","93.30","93.19","93.12","102.75","59.00","4,56,306","4,24,92,134.93","6,756"
"18-Sep-2024","EQ","93.78","93.80","92.90","93.09","93.27","93.42","93.31","102.75","59.00","2,48,091","2,31,49,981.12","4,861"
"17-Sep-2024","EQ","94.67","94.68","92.20","94.44","93.06","93.09","93.33","102.75","59.00","7,65,796","7,14,68,114.67","10,390"
"16-Sep-2024","EQ","94.70","94.97","94.10","94.32","94.39","94.44","94.50","102.75","59.00","2,32,620","2,19,82,249.54","6,235"
"13-Sep-2024","EQ","94.49","94.50","93.40","93.80","94.42","94.32","94.33","102.75","59.00","2,44,019","2,30,17,376.98","3,906"
"12-Sep-2024","EQ","94.55","94.55","93.11","93.20","93.90","93.80","93.79","102.75","59.00","2,27,174","2,13,07,646.38","4,071"
"11-Sep-2024","EQ","93.48","93.76","93.00","93.22","93.31","93.20","93.23","102.75","59.00","1,81,206","1,68,93,011.27","4,661"
"10-Sep-2024","EQ","94.70","94.70","92.50","93.77","93.35","93.22","93.39","102.75","59.00","3,49,959","3,26,83,486.13","7,540"
"09-Sep-2024","EQ","95.90","95.90","91.23","93.09","93.90","93.77","92.73","102.75","59.00","3,74,681","3,47,45,834.64","8,848"
"06-Sep-2024","EQ","94.69","94.69","92.25","93.40","93.20","93.09","93.12","102.75","59.00","4,02,898","3,75,19,589.96","8,378"
"05-Sep-2024","EQ","92.71","94.50","90.71","92.71","93.95","93.40","93.05","102.75","59.00","3,53,494","3,28,92,703.73","6,426"
"04-Sep-2024","EQ","93.89","93.92","91.83","94.32","92.80","92.71","92.73","102.75","59.00","10,40,208","9,64,63,224.79","15,390"
"03-Sep-2024","EQ","95.53","95.53","93.91","94.10","94.59","94.32","94.23","102.75","59.00","2,47,129","2,32,86,681.05","5,083"
"02-Sep-2024","EQ","97.49","97.49","93.51","94.77","94.14","94.10","94.42","102.75","59.00","6,46,004","6,09,97,766.97","10,717"
"30-Aug-2024","EQ","93.99","95.40","93.52","93.98","95.07","94.77","94.49","102.75","59.00","3,57,544","3,37,85,760.46","5,068"
"29-Aug-2024","EQ","94.29","94.29","93.00","94.45","94.04","93.98","93.82","102.75","59.00","5,12,691","4,80,98,439.28","8,622"
"28-Aug-2024","EQ","94.49","94.86","93.41","94.40","94.45","94.45","94.26","102.75","59.00","3,75,987","3,54,39,145.08","6,989"
"27-Aug-2024","EQ","97.30","97.30","93.11","94.49","94.65","94.40","94.20","102.75","59.00","6,57,204","6,19,06,719.94","9,173"
"26-Aug-2024","EQ","96.32","97.00","93.20","95.86","95.00","94.49","94.67","102.75","59.00","13,24,751","12,54,17,543.07","16,945"
"23-Aug-2024","EQ","95.96","96.50","94.00","95.96","95.51","95.86","95.36","102.75","59.00","3,53,325","3,36,92,372.98","7,218"
"22-Aug-2024","EQ","95.70","96.29","95.24","95.42","96.20","95.96","95.88","102.75","59.00","3,09,089","2,96,35,274.65","5,156"
"21-Aug-2024","EQ","95.61","95.99","94.24","95.61","95.70","95.42","95.33","102.75","59.00","5,15,953","4,91,88,232.30","7,634"
"20-Aug-2024","EQ","95.48","96.00","95.01","94.45","95.50","95.61","95.51","102.75","59.00","2,77,750","2,65,27,499.42","4,648"
"19-Aug-2024","EQ","95.90","95.98","93.80","95.32","95.25","94.45","94.94","102.75","59.00","6,43,319","6,10,77,598.16","10,456"
"16-Aug-2024","EQ","94.99","95.55","94.32","93.92","95.55","95.32","94.94","102.75","59.00","3,91,278","3,71,49,313.56","6,599"
"14-Aug-2024","EQ","94.06","94.79","93.50","92.83","93.95","93.92","93.87","102.75","59.00","4,21,486","3,95,65,625.34","4,843"
"13-Aug-2024","EQ","93.00","94.00","91.75","92.51","93.24","92.83","92.79","102.75","59.00","4,71,441","4,37,43,659.32","7,152"
"12-Aug-2024","EQ","95.48","95.88","91.26","94.39","93.14","92.51","93.41","102.75","59.00","7,74,693","7,23,65,854.15","13,084"
"09-Aug-2024","EQ","93.61","94.75","92.40","92.36","94.75","94.39","93.65","102.75","59.00","4,32,906","4,05,39,882.24","7,759"
"08-Aug-2024","EQ","92.97","92.98","90.70","91.46","92.80","92.36","92.11","102.75","59.00","5,23,868","4,82,51,156.26","9,689"
"07-Aug-2024","EQ","93.88","95.00","89.25","91.16","91.95","91.46","92.32","102.75","59.00","11,80,541","10,89,84,603.59","14,699"
"06-Aug-2024","EQ","92.92","94.51","90.00","92.54","91.38","91.16","92.38","102.75","59.00","13,47,310","12,44,62,608.87","19,012"
"05-Aug-2024","EQ","95.00","95.00","91.80","96.04","92.18","92.54","92.92","102.75","59.00","18,24,916","16,95,62,737.23","33,255"
"02-Aug-2024","EQ","99.45","99.45","94.79","97.53","95.97","96.04","96.54","102.75","59.00","6,81,099","6,57,55,349.10","13,990"
"01-Aug-2024","EQ","100.65","100.65","96.36","98.23","97.80","97.53","97.93","102.75","59.00","8,86,107","8,67,80,217.74","11,924"
"31-Jul-2024","EQ","98.41","99.49","97.51","98.36","98.45","98.23","98.43","102.75","59.00","3,23,799","3,18,70,143.85","5,710"
"30-Jul-2024","EQ","100.81","100.89","97.20","99.38","99.10","98.36","98.82","102.75","59.00","6,27,484","6,20,08,732.77","9,923"
"29-Jul-2024","EQ","101.20","101.20","97.50","98.25","99.20","99.38","98.87","102.75","59.00","3,77,496","3,73,23,218.61","7,594"
"26-Jul-2024","EQ","96.95","98.90","96.21","96.95","98.00","98.25","97.51","102.75","59.00","3,64,432","3,55,35,401.78","6,655"
"25-Jul-2024","EQ","98.20","98.20","95.18","98.29","96.67","96.95","96.91","102.75","59.00","7,78,951","7,54,90,406.14","15,495"
"24-Jul-2024","EQ","99.83","99.83","97.39","97.39","98.40","98.29","98.20","102.75","59.00","2,68,574","2,63,75,241.22","6,668"
"23-Jul-2024","EQ","100.13","100.13","97.16","98.13","97.97","97.39","98.15","102.75","59.00","6,37,319","6,25,53,802.19","8,232"
"22-Jul-2024","EQ","97.00","98.87","96.61","96.98","98.45","98.13","97.65","102.75","59.00","5,04,616","4,92,74,782.58","10,375"
"19-Jul-2024","EQ","99.45","99.45","96.67","99.45","97.41","96.98","97.88","102.75","59.00","9,11,070","8,91,74,703.89","16,511"
"18-Jul-2024","EQ","101.24","101.24","98.49","100.59","99.40","99.45","99.21","102.75","59.00","7,58,323","7,52,32,497.65","15,639"
"16-Jul-2024","EQ","102.25","102.25","100.28","101.10","100.53","100.59","100.90","102.75","59.00","5,16,762","5,21,41,184.83","7,318"
"15-Jul-2024","EQ","101.90","102.25","100.04","100.04","101.10","101.10","101.00","102.75","59.00","3,76,760","3,80,52,751.92","7,487"
"12-Jul-2024","EQ","101.66","101.66","99.62","101.66","100.60","100.04","100.16","102.75","59.00","11,37,578","11,39,41,777.33","15,769"
"11-Jul-2024","EQ","102.44","102.44","100.46","100.46","101.71","101.66","101.69","102.75","59.00","6,33,693","6,44,40,358.63","10,904"
"10-Jul-2024","EQ","99.80","101.37","99.80","100.10","100.51","100.46","100.69","102.75","59.00","5,98,503","6,02,60,615.15","8,567"
"09-Jul-2024","EQ","99.89","102.75","99.55","99.53","100.20","100.10","100.24","102.75","59.00","5,30,210","5,31,48,679.88","7,196"
"08-Jul-2024","EQ","99.90","99.90","98.88","98.72","99.60","99.53","99.50","99.90","59.00","7,66,411","7,62,61,471.08","7,088"
"05-Jul-2024","EQ","95.15","98.89","95.15","98.10","98.76","98.72","98.52","99.79","59.00","5,04,727","4,97,24,591.20","8,086"
"04-Jul-2024","EQ","97.50","98.35","97.48","97.08","98.15","98.10","98.09","99.79","59.00","7,88,035","7,72,97,547.69","7,461"
"03-Jul-2024","EQ","95.80","97.20","95.80","95.27","97.07","97.08","96.54","99.79","59.00","11,34,967","10,95,74,761.37","9,473"
"02-Jul-2024","EQ","95.00","95.54","94.94","94.63","95.27","95.27","95.24","99.79","59.00","4,65,837","4,43,65,008.18","5,745"
"01-Jul-2024","EQ","94.97","94.98","94.02","94.38","94.80","94.63","94.68","99.79","59.00","2,88,370","2,73,03,723.01","10,031"
"28-Jun-2024","EQ","94.45","94.59","93.61","93.47","94.59","94.38","94.20","99.79","59.00","6,14,958","5,79,26,746.86","6,168"
"27-Jun-2024","EQ","93.39","93.97","93.21","92.76","93.69","93.47","93.57","99.79","59.00","4,52,485","4,23,39,979.48","7,664"
"26-Jun-2024","EQ","94.48","94.69","91.91","93.95","92.88","92.76","93.17","99.79","59.00","6,43,046","5,99,12,063.70","10,335"
"25-Jun-2024","EQ","94.28","94.29","93.54","94.39","94.19","93.95","94.01","99.79","59.00","3,64,770","3,42,92,286.97","8,571"
"24-Jun-2024","EQ","95.87","95.87","94.17","94.69","94.55","94.39","94.55","99.79","59.00","2,97,602","2,81,38,326.32","8,035"
"21-Jun-2024","EQ","95.00","95.30","94.26","95.19","94.70","94.69","94.72","99.79","59.00","6,24,604","5,91,59,541.85","8,420"
"20-Jun-2024","EQ","95.00","95.30","94.51","94.73","95.21","95.19","94.93","99.79","59.00","3,66,856","3,48,24,343.95","5,593"
"19-Jun-2024","EQ","95.69","95.70","94.25","95.34","94.51","94.73","94.77","99.79","59.00","6,20,135","5,87,72,210.44","9,128"
"18-Jun-2024","EQ","96.12","96.88","94.50","95.22","95.49","95.34","95.35","99.79","59.00","6,47,940","6,17,78,147.87","8,084"
"14-Jun-2024","EQ","95.88","95.88","94.91","95.01","95.40","95.22","95.23","99.79","59.00","3,04,742","2,90,19,348.73","6,509"
"13-Jun-2024","EQ","95.90","96.10","94.80","94.96","94.97","95.01","95.42","99.79","59.00","5,36,821","5,12,22,842.69","8,673"
"12-Jun-2024","EQ","95.89","95.99","94.80","95.25","95.10","94.96","95.22","99.79","59.00","4,48,671","4,27,22,529.11","9,381"
"11-Jun-2024","EQ","95.40","95.98","94.43","95.39","95.45","95.25","95.34","99.79","59.00","4,35,773","4,15,46,301.81","6,734"
"10-Jun-2024","EQ","95.45","95.45","94.65","95.14","95.44","95.39","95.24","99.79","59.00","3,21,105","3,05,82,709.96","6,626"
"07-Jun-2024","EQ","95.50","95.50","93.72","94.23","95.44","95.14","94.96","99.79","59.00","3,33,635","3,16,81,187.46","4,916"
"06-Jun-2024","EQ","94.13","95.48","93.10","93.55","94.49","94.23","94.42","99.79","59.00","4,76,508","4,49,92,955.10","6,743"
